Lần cuối,Mở,Cao,Thấp,% Thay đổi,Ngày
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-05
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-06
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-07
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-08
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-09
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-10
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-11
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-12
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-13
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-14
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-15
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-16
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-17
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-18
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-19
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-20
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-21
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-22
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-23
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-24
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-25
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-26
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-27
10981.0,10981.0,10981.0,10981.0,0.0,1994-08-28
10988.0,10988.0,10988.0,10988.0,0.06,1994-08-29
10988.0,10988.0,10988.0,10988.0,0.0,1994-08-30
10988.0,10988.0,10988.0,10988.0,0.0,1994-08-31
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-01
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-02
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-03
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-04
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-05
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-06
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-07
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-08
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-09
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-10
10988.0,10988.0,10988.0,10988.0,0.0,1994-09-11
