"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2024","25,480.0","25,495.0","25,512.5","25,446.5","","0.02%"
"30/12/2024","25,476.0","25,446.5","25,485.5","25,444.0","","0.12%"
"27/12/2024","25,445.0","25,445.0","25,456.5","25,425.0","","0.08%"
"26/12/2024","25,425.0","25,420.0","25,451.0","25,420.0","","0.02%"
"25/12/2024","25,420.0","25,437.5","25,455.0","25,415.0","","-0.02%"
"24/12/2024","25,425.0","25,450.0","25,465.0","25,432.5","","-0.06%"
"23/12/2024","25,440.0","25,440.0","25,465.0","25,425.5","","-0.02%"
"20/12/2024","25,445.0","25,465.0","25,467.5","25,450.0","","-0.02%"
"19/12/2024","25,450.0","25,465.0","25,469.0","25,450.0","","0.02%"
"18/12/2024","25,445.0","25,445.0","25,457.5","25,395.0","","0.06%"
"17/12/2024","25,430.0","25,392.5","25,440.0","25,346.5","","0.18%"
"16/12/2024","25,385.0","25,390.0","25,405.0","25,346.5","","-0.06%"
"13/12/2024","25,400.0","25,404.5","25,410.0","25,385.0","","0.02%"
"12/12/2024","25,394.0","25,367.5","25,399.0","25,360.0","","0.06%"
"11/12/2024","25,380.0","25,360.0","25,390.0","25,346.5","","0.08%"
"10/12/2024","25,360.0","25,380.0","25,382.5","25,365.0","","-0.04%"
"09/12/2024","25,370.0","25,373.5","25,395.0","25,365.0","","-0.02%"
"06/12/2024","25,375.0","25,395.0","25,396.5","25,366.5","","-0.02%"
"05/12/2024","25,380.0","25,410.0","25,414.0","25,346.5","","-0.08%"
"04/12/2024","25,400.0","25,405.0","25,412.5","25,365.0","","0.02%"
"03/12/2024","25,395.0","25,400.0","25,408.0","25,346.5","","0.08%"
"02/12/2024","25,374.0","25,367.5","25,392.5","25,340.0","","0.12%"
"29/11/2024","25,344.0","25,340.0","25,405.0","25,340.0","","-0.06%"
"28/11/2024","25,358.0","25,355.0","25,407.5","25,327.5","","-0.07%"
"27/11/2024","25,375.0","25,405.0","25,417.5","25,385.0","","-0.12%"
"26/11/2024","25,405.0","25,425.0","25,425.0","25,405.0","","-0.02%"
"25/11/2024","25,410.0","25,415.0","25,425.0","25,388.5","","-0.03%"
"22/11/2024","25,417.0","25,422.5","25,432.5","25,415.0","","0.01%"
"21/11/2024","25,415.0","25,425.0","25,434.0","25,403.5","","0.00%"
"20/11/2024","25,415.0","25,400.0","25,425.0","25,395.0","","0.08%"
"19/11/2024","25,395.0","25,395.0","25,417.5","25,375.0","","-0.04%"
"18/11/2024","25,405.0","25,385.0","25,417.5","25,342.5","","0.10%"
"15/11/2024","25,380.0","25,385.0","25,397.5","25,375.0","","-0.04%"
"14/11/2024","25,390.0","25,375.0","25,405.0","25,335.0","","0.24%"
"13/11/2024","25,330.0","25,350.0","25,363.5","25,295.0","","-0.04%"
